Date : 2024-06-27 16:50:48
Directory : /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/oopsdance
Total : 4086 files,  -1781096 codes, -957629 comments, -120346 blanks, all -2859071 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/decorators/vary.py                                                    | Python           |        -22 |        -10 |        -13 |        -45 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/defaults.py                                                           | Python           |        -78 |        -59 |        -13 |       -150 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/generic/__init__.py                                                   | Python           |        -34 |         -1 |         -5 |        -40 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/generic/base.py                                                       | Python           |       -190 |        -46 |        -50 |       -286 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/generic/dates.py                                                      | Python           |       -457 |       -193 |       -146 |       -796 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/generic/detail.py                                                     | Python           |       -107 |        -49 |        -25 |       -181 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/generic/edit.py                                                       | Python           |       -152 |        -63 |        -60 |       -275 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/generic/list.py                                                       | Python           |       -154 |        -42 |        -25 |       -221 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/i18n.py                                                               | Python           |       -168 |        -58 |        -26 |       -252 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/static.py                                                             | Python           |        -73 |        -37 |        -13 |       -123 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/templates/csrf_403.html                                               | HTML             |        -76 |          0 |         -9 |        -85 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/templates/default_urlconf.html                                        | HTML             |       -253 |          0 |         -1 |       -254 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/templates/directory_index.html                                        | HTML             |        -21 |          0 |         -1 |        -22 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/templates/i18n_catalog.js                                             | JavaScript       |        -84 |         -3 |        -16 |       -103 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/templates/technical_404.html                                          | HTML             |        -81 |          0 |         -2 |        -83 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/views/templates/technical_500.html                                          | HTML             |       -476 |          0 |        -16 |       -492 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/djangorestframework-3.15.1.dist-info/LICENSE.md                                    | Markdown         |        -23 |          0 |         -7 |        -30 |
